replicate,NumDays,treatment,predict_spec,mean.dens.ml
1,13,C+D+P,Para,261.04715447154473
1,13,C+D+P+Pd,Colp,21.842401937046002
1,13,C+D+P+Pd,Dexio,43.02932436220914
1,13,C+D+P+Pd,Spath,40.81266184108289
1,13,C+D+P+Pd,Para,34.005585382582005
1,13,C+D+Pd,Noise,13.84
1,13,C+D+Pd,Spath,28.52390243902439
1,13,C+D+S,Colp,185.73355013550133
1,13,C+D+S,Dexio,101.08075880758807
1,13,C+D+S,Spiro,46.279640753432325
1,13,C+D+S+Pd,Colp,13.84
1,13,C+D+S+Pd,Dexio,13.84
1,13,C+D+S+Pd,Noise,13.84
1,13,C+D+S+Pd,Spath,13.84
1,13,C+D+S+Pd,Spiro,13.84
1,15,C+D,Colp,307.5930623306233
1,15,C+D,Dexio,327.24661246612465
1,15,C+D+P,Colp,107.94664188927604
1,15,C+D+P,Dexio,54.742727481512105
1,15,C+D+P,Para,383.88184281842814
1,15,C+D+P+Pd,Colp,13.84
1,15,C+D+P+Pd,Dexio,13.84
1,15,C+D+P+Pd,Spath,31.65421788617886
1,15,C+D+P+Pd,Para,25.67226459591602
1,15,C+D+Pd,Dexio,13.84
1,15,C+D+Pd,Noise,20.245289256198348
1,15,C+D+Pd,Spath,43.770406504065036
1,15,C+D+S,Colp,172.0060704607046
1,15,C+D+S,Dexio,202.53658536585365
1,15,C+D+S,Spiro,39.97745701719312
1,15,C+D+S+Pd,Spath,36.06384615384615
1,15,C+D+S+Pd,Spiro,27.11739837398374
1,17,C+D,Colp,407.73615176151765
1,17,C+D,Dexio,302.7546883468834
1,17,C+D+P,Colp,165.29235772357723
1,17,C+D+P,Dexio,133.7032140921409
1,17,C+D+P,Para,180.85766937669376
1,17,C+D+P+Pd,Spath,27.328449197860962
1,17,C+D+P+Pd,Para,13.84
1,17,C+D+Pd,Noise,13.84
1,17,C+D+Pd,Spath,13.84
1,17,C+D+S,Colp,229.50395663956638
1,17,C+D+S,Dexio,129.8109485094851
1,17,C+D+S,Spiro,62.37376693766937
1,17,C+D+S+Pd,Colp,19.50181818181818
1,17,C+D+S+Pd,Dexio,13.84
1,17,C+D+S+Pd,Noise,17.049275362318838
1,17,C+D+S+Pd,Spath,13.84
1,17,C+D+S+Pd,Spiro,13.84
1,19,C+D,Colp,300.0917073170732
1,19,C+D,Dexio,297.9913279132791
1,19,C+D+P,Colp,146.27642276422765
1,19,C+D+P,Dexio,152.20249322493225
1,19,C+D+P,Para,105.88129987039001
1,19,C+D+P+Pd,Spath,13.948125000000001
1,19,C+D+P+Pd,Para,21.254285714285714
1,19,C+D+Pd,Noise,13.84
1,19,C+D+S,Colp,247.2071544715447
1,19,C+D+S,Dexio,161.46666666666667
1,19,C+D+S,Spiro,35.2566785370333
1,21,C+D,Colp,264.310243902439
1,21,C+D,Dexio,341.4241734417344
1,21,C+D+P,Colp,175.08162601626015
1,21,C+D+P,Dexio,174.5804850720776
1,21,C+D+P,Para,169.71815718157183
1,21,C+D+P+Pd,Spath,13.84
1,21,C+D+S,Colp,206.849864498645
1,21,C+D+S,Dexio,111.62016260162602
1,21,C+D+S,Spiro,34.76053546397533
1,23,C+D,Colp,319.82027100271006
1,23,C+D,Dexio,388.08260162601624
1,23,C+D+P,Colp,112.82037940379404
1,23,C+D+P,Dexio,81.53972899728997
1,23,C+D+P,Para,138.51252032520324
1,23,C+D+S,Colp,200.81127371273712
1,23,C+D+S,Dexio,109.33224932249323
1,23,C+D+S,Spiro,39.79468834688347
1,23,C+D+S+Pd,Spiro,13.84
1,25,C+D,Colp,231.15425474254744
1,25,C+D,Dexio,380.8062872628726
1,25,C+D+P,Colp,164.57972899728998
1,25,C+D+P,Dexio,91.51653116531165
1,25,C+D+P,Para,126.13528455284552
1,25,C+D+S,Colp,232.27945799457993
1,25,C+D+S,Dexio,214.53875338753386
1,25,C+D+S,Spiro,45.077860987060575
1,27,C+D,Colp,352.7512195121951
1,27,C+D,Dexio,439.8794579945799
1,27,C+D+P,Colp,117.65875338753386
1,27,C+D+P,Dexio,80.1519783197832
1,27,C+D+P,Para,100.78070460704608
1,27,C+D+P+Pd,Para,23.19135135135135
1,27,C+D+S,Colp,233.44216802168023
1,27,C+D+S,Dexio,129.69842818428185
